latitude,longitude,near_highway,near_mall,near_river,near_mountain
13.0997677,77.6427148,True,False,True,False
12.9828479,77.7083437,True,False,True,False
12.9743823,77.6922506,True,False,True,False
12.9420196,77.552003,True,False,True,False
12.9922779,77.594615,True,True,True,False
12.9564486,77.6207504,True,False,True,False
13.0702817,77.6425172,True,False,True,False
13.0178699,77.6165505,True,False,True,False
13.0848014,77.6348471,True,False,True,False
13.0337321,77.5680068,True,False,True,False
12.9951007,77.6145607,True,True,True,False
12.965528,77.5467051,True,False,True,False
12.9490851,77.6184873,True,True,True,False
12.9299371,77.5374237,True,False,True,True
13.0025745,77.5256814,True,False,True,False
12.9031602,77.6052848,True,True,True,False
12.8835602,77.5140959,True,False,True,True
12.9182966,77.5741528,True,False,True,False
12.9175011,77.5611573,True,False,True,False
12.8849238,77.5154846,True,False,True,True
12.9150543,77.5988508,True,False,True,False
12.9381478,77.5828269,True,False,True,False
12.9301531,77.5763445,True,False,True,False
12.923008,77.5974581,True,False,True,False
12.9743212,77.6150015,True,True,True,False
12.9047595,77.6759172,True,False,True,False
13.0203163,77.6325425,True,False,True,False
13.0694707,77.6112448,True,False,True,False
12.8049438,77.6730314,False,False,True,False
12.8921814,77.6483362,True,False,True,False
12.969801,77.6303775,True,False,True,False
12.8646608,77.5938797,True,False,True,True
12.9977407,77.5418368,True,False,True,True
12.9564938,77.4831582,True,False,True,False
12.8785082,77.6408228,True,False,True,False
12.9364846,77.6134783,True,True,True,False
12.9994155,77.7530895,True,False,True,False
12.981538,77.680174,True,False,True,False
12.9611771,77.6558369,True,False,True,False
12.8819289,77.4854975,True,False,True,False
12.9700949,77.6561147,True,False,True,False
13.067129,77.621897,True,False,True,False
12.9129858,77.6037799,True,False,True,False
12.9178503,77.6352346,True,True,True,False
12.9297622,77.5333268,True,False,True,True
12.9876393,77.7377718,True,False,True,True
12.9479007,77.6994103,True,True,True,False
13.0543306,77.6710224,False,False,True,False
12.9039905,77.5859569,True,True,True,False
12.9206827,77.6357104,True,True,True,False
13.0071308,77.5345214,True,False,True,True
12.9808558,77.7087854,True,False,True,False
12.8762737,77.5668962,True,False,True,False
13.090997,77.5868301,True,False,True,False
12.975608,77.5553564,True,False,True,False
12.8197441,77.6556576,False,False,True,False
13.0034737,77.5107376,True,False,True,False
12.977178,77.7436455,True,False,True,True
12.8817809,77.5731796,True,False,True,False
12.8819431,77.6728073,False,False,True,False
12.9651927,77.5919645,True,False,True,False
13.0255533,77.6313982,True,False,True,False
13.0625664,77.4929925,True,False,True,False
12.9922767,77.677326,True,False,True,False
12.8389813,77.6750305,True,False,True,False
12.9633735,77.6419254,True,False,True,False
12.9728474,77.6087738,True,True,True,False
13.0413668,77.5678155,True,False,True,False
12.9214542,77.6211213,True,True,True,False
12.9327296,77.7039713,True,False,True,False
12.9600263,77.6449347,True,False,True,False
13.0076481,77.7258907,True,False,True,False
12.956763,77.6488827,True,False,True,False
12.9358121,77.5150011,True,False,True,False
12.9070818,77.6929357,True,False,True,False
12.9287596,77.6287122,True,True,True,False
12.824788,77.7070289,True,False,True,False
12.9682085,77.6823937,True,False,True,False
12.9529247,77.6231374,True,False,True,False
12.9233593,77.5418698,True,False,True,True
13.0232471,77.5883569,True,False,True,False
12.9556699,77.5402492,True,False,True,False
12.8774369,77.5447414,True,False,True,True
13.0815052,77.69505,False,False,True,False
13.0367681,77.5675668,True,False,True,False
12.7561242,77.6247388,False,False,True,False
12.9105609,77.6271039,True,True,True,False
13.0673987,77.5004877,True,False,True,False
12.9721131,77.5215397,True,False,True,False
12.8822711,77.4606466,True,False,True,False
12.9678103,77.6715478,True,False,True,False
13.0326126,77.6096168,True,False,True,False
12.9781922,77.7246451,True,False,True,False
12.9327778,77.6294052,True,True,True,False
12.8872086,77.5960493,True,True,True,False
12.8868411,77.5969514,True,True,True,False
12.9779079,77.5723936,True,True,True,False
12.9118559,77.6516888,True,False,True,False
12.9579825,77.609009,True,True,True,False
13.0509021,77.7405306,True,False,True,False
13.0272857,77.5934361,True,False,True,False
13.0227204,77.595715,True,False,True,False
13.0374664,77.628799,True,False,True,False
12.9794966,77.7498654,True,False,True,True
13.0039028,77.6736303,True,False,True,False
12.9173302,77.5851029,True,False,True,False
13.0041793,77.7569632,True,False,True,False
