city,locality,geo_lat,geo_lon
Bangalore,Uttarahalli,12.9055682,77.5455438
Bangalore,Nagondanahalli,12.97516,77.7703403
Bangalore,Mahadevapura,12.9965445,77.6927176
Bangalore,Mahadev pura,,
Bangalore,JP Nagar Phase 9,12.9117853,77.5976188
Bangalore,Bellandur,12.9320495,77.6842915
Bangalore,Shanti Nagar,12.9555367,77.5924278
Bangalore,Nagawara,13.0529146,77.6312831
Bangalore,Nagasandra,13.0479536,77.5001422
Bangalore,Sanjay Nagar,12.9578658,77.6958748
Bangalore,Banashankari 6th Stage 6th Block,12.8793396,77.5034003
Bangalore,Annapurneshwari Nagar,12.9770585,77.6318947
Bangalore,Domlur Layout,12.9644251,77.6349677
Bangalore,Nagenahalli,13.1310462,77.574511
Bangalore,Hampapura,12.8291084,77.42703
Bangalore,Electronics City,12.8871751,77.6112689
Bangalore,Dasarahalli on Tumkur Road,,
Bangalore,Muneshwara Nagar,13.0052451,77.7132511
Bangalore,Kithaganur Colony,,
Bangalore,Doddakannelli,12.9115381,77.6934164
Bangalore,Kodathi,12.8905129,77.7133427
Bangalore,Carmelaram,12.9111998,77.7065133
Bangalore,Silk Board,12.9168164,77.6223685
Bangalore,Sahakar Nagar,13.0705182,77.5869662
Bangalore,Ulsoor,12.9778793,77.6246697
Bangalore,Kadubeesanahalli,12.9366109,77.7047316
Bangalore,Mavalli,12.9528478,77.5819643
Bangalore,Lingadheeranahalli,,
Bangalore,Avalahalli Off Sarjapur Road,,
Bangalore,Hulimavu,12.8773486,77.6028031
Bangalore,Devarachikkana Halli,12.8847643,77.6218621
Bangalore,Medahalli,13.0278454,77.7206079
Bangalore,Sir M V Nagar,12.9312736,77.5704231
Bangalore,Singasandra,12.8787382,77.642089
Bangalore,Hosa Road,12.8722557,77.663486
Bangalore,Dasarahalli,13.0464819,77.5176977
Bangalore,Chinnapanna Halli,,
Bangalore,Sanjaynagar,13.0281982,77.5796524
Bangalore,GB Palya,12.9757853,77.6725875
Bangalore,Kadugondanahalli,13.0207029,77.6215464
Bangalore,Chikkabettahalli,13.0894554,77.556171
Bangalore,Khajisonnanahalli,,
